,namespace,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs,M. Total Questões,M. Questões Disc,M Questões Banco,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
0,acessoalmirantetamandare,1.15,0.94,1.87,0.19,5.92,3.3,0.22,7.58,1.0,0.0,0.0,0.0,4.93,2.67,0.0,0.0,0.5,2.25,0.33,0.08,0.33,0.0,2.89,1.25,2.11,2.0
1,acessoboqueirao,1.19,0.9,0.9,0.67,1.5,0.56,0.47,1.29,0.22,0.44,2.31,0.0,2.23,1.33,0.56,0.76,0.67,1.08,0.71,0.0,0.3,0.4,0.13,0.76,0.25,0.5
2,acessocampolargo,1.29,0.94,0.6,0.24,2.92,1.5,0.22,6.17,3.5,0.0,0.0,0.0,5.13,2.78,0.0,0.0,0.5,2.75,0.67,0.08,0.0,0.0,0.22,0.5,1.22,1.5
3,acessocampolargokids,1.17,0.91,2.47,0.0,1.58,0.0,1.11,0.5,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,2.0,1.67,0.33,0.0,0.0,0.0,0.75,0.78,0.5
4,acessofazendariogrande,1.24,0.95,0.67,0.29,1.92,1.3,0.11,1.92,0.0,0.0,0.0,0.0,4.13,2.11,0.0,0.0,0.25,2.0,1.0,0.08,0.0,0.0,0.44,2.25,0.89,0.0
5,acessohauer,1.32,0.83,1.4,0.14,2.17,1.2,0.89,1.67,0.5,0.5,0.0,0.0,2.87,1.33,0.0,0.0,0.0,1.75,8.33,0.42,0.33,0.0,0.0,9.5,3.11,1.0
6,acessopinhais,1.23,0.97,0.67,0.38,1.17,0.7,0.44,4.33,1.5,0.0,1.0,0.0,5.6,2.67,0.0,0.0,0.25,2.0,0.67,0.08,0.67,0.0,0.89,0.25,0.11,1.5
7,acessosantafelicidade,1.18,0.9,1.35,0.52,4.55,0.94,0.2,7.14,0.89,0.12,4.62,0.0,2.48,1.47,1.27,2.59,0.58,0.46,1.29,0.0,0.0,0.0,0.33,0.88,1.04,1.67
8,acessosjpinhais,1.13,1.18,0.37,0.59,1.21,1.06,2.12,0.7,0.42,2.35,0.0,1.0,1.78,0.68,0.68,1.24,0.66,2.04,8.33,0.0,0.57,1.5,0.56,5.88,2.32,1.47
9,adrianochan,1.0,1.09,0.1,2.05,0.5,0.11,0.07,1.0,4.0,3.19,0.0,1.33,0.48,0.6,0.41,0.07,0.5,0.27,0.0,14.29,7.0,0.4,0.33,0.0,0.04,0.0
