,namespace,2021-08-25
0,colegiobianguloiv,Risco alto
1,darwin,Risco alto
2,josecabral,Risco alto
3,viladainfanciafortaleza,Risco alto
4,sosmamaecoruja,Risco alto
5,sonhodecrianca,Risco alto
6,senninha,Risco alto
7,scoredu,Risco alto
8,rosanaponte,Risco alto
9,rosadesaron,Risco alto
10,potenciacao,Risco alto
11,positivo,Risco alto
12,vitaldidonet,Risco alto
13,pluricrecheescola,Risco alto
14,paulovi,Risco alto
15,oswalddeandrade,Risco alto
16,nucleo,Risco alto
17,msetemporario,Risco alto
18,materdei,Risco alto
19,marqueslima,Risco alto
20,mariamerces,Risco alto
21,magnumagostiniano,Risco alto
22,magno,Risco alto
23,physicsagustomontenegro,Risco alto
24,kidsbaby,Risco alto
25,colegiosantadoroteia,Risco alto
26,classea,Risco alto
27,nossasenhoradesion,Risco alto
28,vitalbrazil,Risco alto
29,santamarcelina,Risco alto
30,coreeschool,Risco alto
31,vertice,Risco alto
32,mobile,Risco alto
33,colegiosalesianorn,Risco alto
34,playpen,Risco alto
35,tomasdeaquino,Risco alto
36,augustolaranja,Risco alto
37,magnum,Risco alto
38,cognita,Risco alto
39,bahema,Risco alto
40,elvirabrandao,Risco alto
41,santacruz,Risco alto
42,veracruz,Risco alto
43,lerote,Risco alto
44,notredame,Risco alto
45,cruzeiro,Risco alto
46,saobento,Risco alto
47,santamaria,Risco alto
48,colegiosaojudas,Risco alto
49,pannetaosasco,Risco alto
50,grandepasso,Risco alto
51,babycamp,Risco alto
52,antoniocesar,Risco alto
53,Ipdhsolucoes,Risco alto
54,gaylussac,Risco alto
55,josemariano,Risco alto
56,acessoemilianoperneta,Risco alto
57,viladainfanciaeusebio,Risco alto
58,herciliovilanova,Risco alto
59,sistemaeducacionalmaster,Risco alto
60,santoagostinhomg,Risco alto
61,recriar,Risco alto
62,riobrancocampinas,Risco alto
63,colegiobiangulo,Risco alto
64,saoluiz,Risco alto
65,escolaidaam,Risco alto
66,babyhouse,Risco alto
67,centroarcadenoe,Risco alto
68,physicstrescoracoes,Risco alto
69,colegioevoluir,Risco alto
70,franciscanopioxii,Risco alto
71,escolinhacaca,Risco alto
72,escolasantaclara,Risco alto
73,cfc,Risco alto
74,escolacristaemaldeia,Risco alto
75,escolacristacandeias,Risco alto
76,escolacristaboaviagem,Risco alto
77,escolabedelandia,Risco alto
78,escolacristaempiedade,Risco alto
79,educaprime,Risco alto
80,contratos2021,Risco alto
81,colsaberviver,Risco alto
82,colegiovitoria,Risco alto
83,colegiotelesmourabrasil,Risco alto
84,colegiotelescastelao,Risco alto
85,colegioma,Risco alto
86,eliteemilianoperneta,Risco alto
87,podion,Risco alto
88,barraazul,Risco alto
89,franciscopinto,Risco alto
90,zacariasliberato,Risco alto
91,domhelder,Risco alto
92,engenhomoscou,Risco alto
93,pedromurilo,Risco alto
94,prevest,Risco alto
95,saosebastiao,Risco alto
96,tialo,Risco alto
97,primeiromundo,Risco alto
98,vicentecravo,Risco alto
99,albertocabral,Risco alto
100,cicerofranklin,Risco alto
101,colegiocanarinho,Risco alto
102,djanirapereira,Risco alto
103,josesoares,Risco alto
104,liviasoares,Risco alto
105,manoelbernardino,Risco alto
106,manoelmarcelino,Risco alto
107,nsconceicao,Risco alto
108,palasatena,Risco alto
109,pedrocamelo,Risco alto
110,antonioportela,Risco alto
111,liviacarneiro,Risco alto
112,manoelfrancisco,Risco alto
113,joaoferreira,Risco alto
114,colegioanchietaii,Risco alto
115,blueschooleducacional,Risco alto
116,manoelbatista,Risco alto
117,arlindocavalcanti,Risco alto
118,pcf,Risco alto
119,cermac,Risco alto
120,formacoesipu,Risco alto
121,joaoxxiii,Risco alto
122,colegiomilitardompedroii,Risco alto
123,arturtavares,Risco alto
124,josepiaulino,Risco alto
125,cotemig,Risco alto
126,dantealighieri,Risco alto
127,pesenglish,Risco alto
128,camerinocursos,Risco alto
129,domus,Risco alto
130,colegiomagnum,Risco alto
131,caur,Risco alto
