,namespace,Risco,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs,M. Total Questões,M. Questões Disc,M. Questões Banco,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
0,aprovest,Risco alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,potenciacao,Risco alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,caur,Risco alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,pcf,Risco alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,camerinocursos,Risco alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,1.19,0.0,0.0,0.0
5,prevest,Risco alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.67,0.0,0.0,4.35,0.0,0.0,4.17,0.0,0.0,0.0
6,casdvest,Risco alto,1.38,1.31,0.27,0.28,0.06,0.04,0.44,0.17,0.0,0.0,0.0,0.0,0.11,0.0,0.23,0.0,0.17,0.07,0.0,1.2,0.0,0.0,1.37,0.0,0.07,0.0
7,casdinhosjc,Risco alto,1.23,1.52,0.0,0.89,0.0,0.08,0.0,0.14,0.35,0.0,0.0,0.0,0.16,0.06,0.13,0.06,0.22,0.0,0.0,1.2,0.0,0.0,1.37,0.08,0.14,0.0
8,faculdadeflamingo,Risco alto,1.43,1.19,0.53,0.78,0.33,0.92,1.78,0.03,0.3,0.14,0.0,0.0,0.19,1.18,0.39,0.31,0.0,0.25,0.67,0.36,0.2,0.0,1.15,1.08,1.36,0.43
9,cnslpb,Risco médio alto,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,4.17,0.0,0.0,1.56,0.0,0.0,1.29,0.0,0.0,0.0
10,souhabilis,Risco médio alto,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.56,0.0,0.0,1.0,0.0,0.42,0.0,0.9,0.0,25.0,0.0,0.0,1.11,0.0,0.0,1.09,0.0,0.0,0.0
11,colegiopremiumgentil,Risco médio alto,1.03,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,1.09,0.0,0.0,0.0
12,litteratus,Risco médio alto,0.0,0.0,0.0,0.0,2.08,0.0,1.16,1.56,4.5,2.0,0.0,0.0,0.21,0.71,5.1,1.67,0.0,0.0,0.0,1.11,0.0,0.0,1.09,0.0,0.0,0.0
13,cursoleopoldo,Risco médio alto,1.11,1.37,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,2.0,1.5,0.21,0.0,0.1,0.0,0.0,0.0,0.0,1.11,0.0,0.0,1.09,0.0,0.08,0.0
14,primeirodemaio,Risco médio alto,1.31,0.93,0.12,0.8,0.0,0.29,0.16,0.44,0.0,0.0,0.0,0.0,0.21,0.21,0.2,0.0,0.5,0.0,0.0,1.09,0.0,0.0,1.09,0.0,0.0,0.0
15,laboratoriosromildo,Risco médio alto,0.82,1.67,0.0,0.0,0.83,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.11,0.07,0.1,0.0,0.0,0.0,0.0,1.11,0.0,0.0,1.09,0.0,0.42,0.0
16,cursobase,Risco médio alto,1.56,0.83,0.0,0.8,0.0,0.14,0.0,0.56,0.5,0.25,0.0,0.0,0.11,0.29,0.3,0.11,0.0,1.0,0.0,1.11,0.0,0.0,1.09,0.0,0.08,0.0
17,colegioglobal,Risco médio alto,0.0,0.0,0.0,0.0,5.17,0.0,0.0,1.33,0.0,0.0,0.0,1.5,4.11,0.0,1.0,1.33,0.5,3.5,0.0,1.0,0.0,0.0,1.09,0.0,0.0,0.0
18,cursoisfera,Risco médio alto,1.58,0.83,0.0,0.2,0.17,0.14,0.0,1.89,0.0,1.0,0.0,0.0,1.16,0.07,4.6,0.44,0.25,0.17,0.0,1.11,0.5,0.0,0.42,0.0,0.0,0.0
19,nucleocriativo,Risco médio alto,0.82,1.53,0.88,0.2,0.58,0.14,0.0,0.22,1.5,0.5,0.0,0.0,0.42,0.86,0.9,0.44,0.0,0.0,0.0,1.1,1.75,0.0,1.09,1.25,0.5,0.0
20,educarse,Risco médio alto,1.03,1.27,0.0,1.0,0.25,1.14,1.16,2.22,0.0,0.0,0.0,0.0,0.47,0.5,2.1,0.11,0.0,0.33,0.0,1.11,0.0,0.0,1.09,0.0,0.42,0.0
21,conexaosaber,Risco médio alto,0.9,0.85,5.71,0.0,1.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.21,0.0,0.7,2.11,0.0,0.5,0.25,1.1,0.0,0.0,1.09,0.5,0.42,2.5
22,profederal,Risco médio alto,1.47,0.87,0.06,0.7,0.83,0.29,0.05,0.78,9.5,0.25,0.0,0.0,0.89,2.0,2.4,0.11,1.75,0.0,0.0,1.09,0.0,0.0,1.0,0.0,0.08,0.0
23,anossaatmosfera,Risco médio alto,0.84,1.25,0.65,3.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,2.43,1.6,0.0,0.0,0.0,0.0,1.11,0.0,6.25,1.09,0.0,0.0,0.0
24,escolaceciliameireles,Risco médio alto,0.84,0.88,5.88,0.0,0.83,0.0,0.0,0.78,0.5,0.0,0.0,0.0,0.79,0.07,1.2,3.0,0.0,0.0,0.0,1.11,0.5,0.0,1.09,0.0,0.08,0.0
25,colegiopremium,Risco médio alto,1.26,0.87,1.76,0.2,2.25,0.43,0.26,4.56,0.0,0.0,0.0,0.0,0.63,0.14,3.0,0.78,0.0,1.5,0.0,1.02,0.0,0.0,1.09,0.0,0.17,0.0
26,insa,Risco médio alto,1.18,1.17,0.41,1.1,0.25,0.57,0.26,0.44,0.0,1.25,0.0,2.5,0.21,1.86,1.6,0.0,8.25,0.5,0.0,1.11,0.0,0.0,1.02,0.0,2.58,0.0
27,colegioecursoprogressao,Risco médio alto,1.31,0.83,1.35,1.8,2.17,0.43,0.37,2.0,0.0,0.0,0.0,0.0,4.58,1.21,2.2,0.22,2.0,0.83,0.25,0.37,0.0,0.0,1.09,0.5,0.5,0.5
28,ciadosaber,Risco médio alto,1.37,1.1,0.06,0.1,3.0,0.14,0.42,0.0,0.0,0.0,0.0,0.0,1.74,0.29,1.8,4.89,0.0,0.67,0.25,1.06,0.0,0.0,1.09,1.25,2.17,0.0
29,adrianochan,Risco médio alto,1.03,1.25,0.0,1.79,0.52,0.0,0.0,2.36,4.2,2.5,0.0,0.0,0.45,0.25,0.51,0.14,1.62,0.44,0.0,1.25,2.0,0.5,1.16,0.0,0.05,0.0
30,cursosazambuja,Risco médio alto,0.91,1.47,0.61,0.58,0.09,0.13,0.15,0.45,0.2,0.38,0.0,0.0,0.42,0.67,0.92,0.05,0.54,0.0,0.08,1.25,20.0,0.75,0.93,0.25,0.32,0.0
31,eacorcovado,Risco médio alto,1.09,1.03,2.1,0.79,0.04,2.6,0.92,0.0,2.4,0.12,0.0,0.0,0.03,2.67,0.36,0.86,0.54,0.81,0.0,1.19,1.8,0.0,1.1,0.06,0.23,0.45
32,ceespacolivre,Risco médio alto,1.13,1.15,1.03,0.0,0.7,0.2,0.62,0.55,0.0,0.0,0.0,0.0,0.45,0.08,0.64,1.45,0.23,0.38,0.23,1.11,2.0,0.0,1.16,0.44,0.64,6.0
33,universobarcarena,Risco médio alto,1.26,0.93,1.48,0.46,0.48,0.2,0.0,1.09,0.4,0.88,0.0,0.0,0.68,0.25,1.74,1.27,1.77,0.12,0.08,1.22,0.2,0.0,0.44,1.5,1.86,0.09
34,isem,Risco médio alto,1.26,0.98,1.13,0.12,0.83,0.07,0.31,0.91,0.0,3.75,0.0,0.0,1.55,0.08,0.44,1.05,0.0,1.56,0.92,1.16,0.0,0.0,1.07,0.56,0.82,0.09
