,namespace,Risco,Total Conteudos,ARTICLE,Tarefas,AUDIO,EMBEDCONTENT,S.Exs,GDOCS,GSHEETS,GSLIDES,LINKCONTENT,LINKEDEXAM,PRESENTATION,VIDEO,VIDEOCONF,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs,M. Total Questões,M. Questões Disc,M. Questões Banco,(Prof) M.Correções,(Admin) M.Correções,(Prof) M.Comentários Forum,(Admin) M.Comentários Forum,(Student) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Resultados,(Student) M. de Likes,(Student) M. de Uploads
0,aprovest,Risco alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,7.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,potenciacao,Risco alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,caur,Risco alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,pcf,Risco alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,camerinocursos,Risco alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,prevest,Risco alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,casdvest,Risco alto,597.0,22.0,15.0,0.0,0.0,20.0,0.0,0.0,10.0,37.0,0.0,315.0,62.0,116.0,82.0,37.0,73.0,304.0,0.0,0.0,0.0,0.0,2054.0,27.0,1235.0,7.0,71.0,143.0,0.0,0.0,0.0,1.0,0.0,4.0,342.0,0.0
7,casdinhosjc,Risco alto,292.0,2.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,114.0,18.0,130.0,0.0,77.0,11.0,236.0,50.0,3.0,3.0,0.0,2864.0,166.0,542.0,14.0,72.0,30.0,0.0,0.0,0.0,11.0,1.0,2.0,1075.0,0.0
8,faculdadeflamingo,Risco alto,3533.0,649.0,228.0,0.0,1.0,326.0,2.0,0.0,0.0,111.0,1.0,1586.0,392.0,237.0,565.0,730.0,247.0,75.0,38.0,153.0,0.0,0.0,2944.0,2145.0,1950.0,115.0,0.0,530.0,34.0,41.0,0.0,186.0,53.0,40.0,10346.0,23.0
9,cnslpb,Risco médio alto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,2847.0,0.0,137.0,1.0,3133.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,0.0,0.0
