,namespace,Motivo
0,acessoemilianoperneta,Sem nenhuma subida de conteudo em cadernos
1,antoniocesar,Sem nenhuma subida de conteudo em cadernos
2,antonioportela,Sem nenhuma subida de conteudo em cadernos
3,aprovest,Sem nenhuma subida de conteudo em cadernos
4,babycamp,Sem nenhuma subida de conteudo em cadernos
5,babyhouse,Sem nenhuma subida de conteudo em cadernos
6,camerinocursos,Sem nenhuma subida de conteudo em cadernos
7,catarinense,Sem nenhuma subida de conteudo em cadernos
8,caur,Sem nenhuma subida de conteudo em cadernos
9,cbpdigital,Sem nenhuma subida de conteudo em cadernos
10,cecb,Sem nenhuma subida de conteudo em cadernos
11,centroarcadenoe,Sem nenhuma subida de conteudo em cadernos
12,cermac,Sem nenhuma subida de conteudo em cadernos
13,cfc,Sem nenhuma subida de conteudo em cadernos
14,colegioanchietai,Sem nenhuma subida de conteudo em cadernos
15,colegioanchietaii,Sem nenhuma subida de conteudo em cadernos
16,colegiobatistaindependente,Sem nenhuma subida de conteudo em cadernos
17,colegiocanarinho,Sem nenhuma subida de conteudo em cadernos
18,colegioevoluir,Sem nenhuma subida de conteudo em cadernos
19,colegioma,Sem nenhuma subida de conteudo em cadernos
20,colegiomilitardompedroii,Sem nenhuma subida de conteudo em cadernos
21,colegionovopatio,Sem nenhuma subida de conteudo em cadernos
22,colegiotelescastelao,Sem nenhuma subida de conteudo em cadernos
23,colegiotelesmourabrasil,Sem nenhuma subida de conteudo em cadernos
24,colegiovitoria,Sem nenhuma subida de conteudo em cadernos
25,colsaberviver,Sem nenhuma subida de conteudo em cadernos
26,contratos2021,Sem nenhuma subida de conteudo em cadernos
27,culturainglesa,Sem nenhuma subida de conteudo em cadernos
28,djanirapereira,Sem nenhuma subida de conteudo em cadernos
29,duquecastilho,Sem nenhuma subida de conteudo em cadernos
30,educacaoinfantilsemear,Sem nenhuma subida de conteudo em cadernos
31,educandarioterciocorreia,Sem nenhuma subida de conteudo em cadernos
32,educaprime,Sem nenhuma subida de conteudo em cadernos
33,eliteemilianoperneta,Sem nenhuma subida de conteudo em cadernos
34,escolabedelandia,Sem nenhuma subida de conteudo em cadernos
35,escolacristaboaviagem,Sem nenhuma subida de conteudo em cadernos
36,escolacristacandeias,Sem nenhuma subida de conteudo em cadernos
37,escolacristaemaldeia,Sem nenhuma subida de conteudo em cadernos
38,escolacristaempiedade,Sem nenhuma subida de conteudo em cadernos
39,escolacristanavarzea,Sem nenhuma subida de conteudo em cadernos
40,escolasantaclara,Sem nenhuma subida de conteudo em cadernos
41,escolavida,Sem nenhuma subida de conteudo em cadernos
42,escolinhacaca,Sem nenhuma subida de conteudo em cadernos
43,espacoeducar,Sem nenhuma subida de conteudo em cadernos
44,franciscanopioxii,Sem nenhuma subida de conteudo em cadernos
45,galois,Sem nenhuma subida de conteudo em cadernos
46,grandepasso,Sem nenhuma subida de conteudo em cadernos
47,habilisescolaecurso,Sem nenhuma subida de conteudo em cadernos
48,idaam,Sem nenhuma subida de conteudo em cadernos
49,institutocristao,Sem nenhuma subida de conteudo em cadernos
50,institutokairos,Sem nenhuma subida de conteudo em cadernos
51,Ipdhsolucoes,Sem nenhuma subida de conteudo em cadernos
52,joaoferreira,Sem nenhuma subida de conteudo em cadernos
53,josecabral,Sem nenhuma subida de conteudo em cadernos
54,kidsbaby,Sem nenhuma subida de conteudo em cadernos
55,liviasoares,Sem nenhuma subida de conteudo em cadernos
56,magister,Sem nenhuma subida de conteudo em cadernos
57,magno,Sem nenhuma subida de conteudo em cadernos
58,magnumagostiniano,Sem nenhuma subida de conteudo em cadernos
59,marqueslima,Sem nenhuma subida de conteudo em cadernos
60,materdei,Sem nenhuma subida de conteudo em cadernos
61,nsconceicao,Sem nenhuma subida de conteudo em cadernos
62,nucleo,Sem nenhuma subida de conteudo em cadernos
63,oficinadoestudante,Sem nenhuma subida de conteudo em cadernos
64,oswalddeandrade,Sem nenhuma subida de conteudo em cadernos
65,palasatena,Sem nenhuma subida de conteudo em cadernos
66,paulovi,Sem nenhuma subida de conteudo em cadernos
67,pcf,Sem nenhuma subida de conteudo em cadernos
68,pedromurilo,Sem nenhuma subida de conteudo em cadernos
69,physicsagustomontenegro,Sem nenhuma subida de conteudo em cadernos
70,physicstrescoracoes,Sem nenhuma subida de conteudo em cadernos
71,pluricrecheescola,Sem nenhuma subida de conteudo em cadernos
72,podion,Sem nenhuma subida de conteudo em cadernos
73,poliedro,Sem nenhuma subida de conteudo em cadernos
74,positivo,Sem nenhuma subida de conteudo em cadernos
75,potenciacao,Sem nenhuma subida de conteudo em cadernos
76,prevest,Sem nenhuma subida de conteudo em cadernos
77,primeiromundo,Sem nenhuma subida de conteudo em cadernos
78,recriar,Sem nenhuma subida de conteudo em cadernos
79,rosadesaron,Sem nenhuma subida de conteudo em cadernos
