,namespace,Produto,n_usuarios,licenças,Deal Owner
0,acessoalmirantetamandare,Pedagógico,279.0,30 - 400,S/Deal Owner Hubspot
1,acessoboqueirao,Pedagógico,567.0,400 - 800,S/Deal Owner Hubspot
2,acessocampolargo,Pedagógico,310.0,30 - 400,S/Deal Owner Hubspot
3,acessocampolargokids,Pedagógico,125.0,30 - 400,S/Deal Owner Hubspot
4,acessofazendariogrande,Pedagógico,392.0,30 - 400,S/Deal Owner Hubspot
5,acessohauer,Pedagógico,400.0,30 - 400,S/Deal Owner Hubspot
6,acessopinhais,Pedagógico,187.0,30 - 400,S/Deal Owner Hubspot
7,acessosantafelicidade,Pedagógico,531.0,400 - 800,S/Deal Owner Hubspot
8,acessosjpinhais,Pedagógico,873.0,800 - 1200,S/Deal Owner Hubspot
9,adrianochan,Pedagógico,567.0,400 - 800,S/Deal Owner Hubspot
10,aescobjetivo,Pedagógico,935.0,800 - 1200,Marcos Rocha
11,albertsabin,Pedagógico,5.0,0 - 30,S/Deal Owner Hubspot
12,amadeus,Pedagógico,1467.0,1200 - x,Marcos Rocha
13,apogeustoantonio2,Pedagógico,1588.0,1200 - x,S/Deal Owner Hubspot
14,aprovest,Diagnóstico,96.0,30 - 400,Fernanda Pereira
15,brasilcursinhos,Pedagógico,411.0,400 - 800,S/Deal Owner Hubspot
16,camerinocursos,Pedagógico,971.0,800 - 1200,Fernanda Pereira
17,casdinhosjc,Pedagógico,1311.0,1200 - x,S/Deal Owner Hubspot
18,casdvest,Pedagógico,1683.0,1200 - x,S/Deal Owner Hubspot
19,cbpdigital,Diagnóstico,442.0,400 - 800,S/Deal Owner Hubspot
20,ceabb,Pedagógico,116.0,30 - 400,Fernanda Moreira
21,ceespacolivre,Pedagógico,537.0,400 - 800,Marcos Rocha
22,cem,Pedagógico,209.0,30 - 400,Fernanda Moreira
23,ceprimeiromundo,Pedagógico,1036.0,800 - 1200,S/Deal Owner Hubspot
24,ciadosaber,Pedagógico,167.0,30 - 400,Fernanda Moreira
25,cnslpb,Diagnóstico,621.0,400 - 800,Fernanda Pereira
26,colegioarena,Pedagógico,1343.0,1200 - x,S/Deal Owner Hubspot
27,colegiobatistaindependente,Diagnóstico,117.0,30 - 400,Fernanda Moreira
28,colegiobetelbrasileirosp,Pedagógico,502.0,400 - 800,Marcos Rocha
29,colegiobilac,Pedagógico,359.0,30 - 400,Fernanda Moreira
30,colegiobrasilia,Pedagógico,1435.0,1200 - x,Magnum Queiroz
31,colegiocb,Pedagógico,438.0,400 - 800,Marcos Rocha
32,colegiodasamericas,Pedagógico,410.0,400 - 800,Magnum Queiroz
33,colegioeag,Pedagógico,936.0,800 - 1200,S/Deal Owner Hubspot
34,colegioecursodesafio,Pedagógico,798.0,400 - 800,Fernanda Moreira
35,colegioecursoprogressao,Pedagógico,432.0,400 - 800,Marcos Rocha
36,colegioeducallis,Pedagógico,997.0,800 - 1200,Marcos Rocha
37,colegioensitec,Pedagógico,368.0,30 - 400,Fernanda Moreira
38,colegioflamingo,Pedagógico,211.0,30 - 400,Fernanda Moreira
39,colegiofuturageracao,Pedagógico,88.0,30 - 400,Fernanda Moreira
40,colegioglobal,Pedagógico,338.0,30 - 400,Marcos Rocha
41,colegioguilhermedealmeida,Pedagógico,872.0,800 - 1200,Marcos Rocha
42,colegioiguatemy,Pedagógico,481.0,400 - 800,Marcos Rocha
43,colegiointegral,Pedagógico,1959.0,1200 - x,Marcos Rocha
44,colegiojoaopaulo,Pedagógico,678.0,400 - 800,S/Deal Owner Hubspot
45,colegiomagnum,Pedagógico,670.0,400 - 800,S/Deal Owner Hubspot
46,colegiomartinus,Pedagógico,6.0,0 - 30,S/Deal Owner Hubspot
47,colegionovopatio,Diagnóstico,332.0,30 - 400,S/Deal Owner Hubspot
48,colegioplanck,Pedagógico,868.0,800 - 1200,S/Deal Owner Hubspot
49,colegiopremium,Pedagógico,208.0,30 - 400,S/Deal Owner Hubspot
50,colegiopremiumgentil,Pedagógico,159.0,30 - 400,S/Deal Owner Hubspot
51,colegiosaberviver,Pedagógico,4.0,0 - 30,S/Deal Owner Hubspot
52,colegiosantamaria,Pedagógico,5.0,0 - 30,S/Deal Owner Hubspot
53,colegiosete,Pedagógico,1021.0,800 - 1200,Marcos Rocha
54,colegiouirapuru,Pedagógico,1388.0,1200 - x,Marcos Rocha
55,colegiouniverso,Pedagógico,1154.0,800 - 1200,S/Deal Owner Hubspot
56,colegioup,Diagnóstico,292.0,30 - 400,Fernanda Moreira
57,conexaosaber,Pedagógico,279.0,30 - 400,Fernanda Moreira
58,contemporaneocidadeverde,Pedagógico,763.0,400 - 800,S/Deal Owner Hubspot
59,contemporaneolagoanova,Pedagógico,1051.0,800 - 1200,S/Deal Owner Hubspot
60,crb,Diagnóstico,1733.0,1200 - x,Magnum Queiroz
61,crescercampinas,Diagnóstico,724.0,400 - 800,Fernanda Pereira
62,cursobase,Pedagógico,134.0,30 - 400,Fernanda Pereira
63,cursoenfase,Pedagógico,277.0,30 - 400,S/Deal Owner Hubspot
64,cursoisfera,Pedagógico,114.0,30 - 400,Fernanda Pereira
65,cursoleopoldo,Pedagógico,259.0,30 - 400,Fernanda Pereira
66,cursosazambuja,Pedagógico,738.0,400 - 800,Fernanda Pereira
67,deltaeducacional,Diagnóstico,182.0,30 - 400,S/Deal Owner Hubspot
68,dommga,Diagnóstico,41.0,30 - 400,S/Deal Owner Hubspot
69,domus,Diagnóstico,118.0,30 - 400,S/Deal Owner Hubspot
70,eacorcovado,Pedagógico,809.0,800 - 1200,Marcos Rocha
71,eccos,Pedagógico,335.0,30 - 400,Marcos Rocha
72,educandarioterciocorreia,Diagnóstico,119.0,30 - 400,Fernanda Pereira
73,educarse,Pedagógico,71.0,30 - 400,Fernanda Pereira
74,einsteinassis,Pedagógico,148.0,30 - 400,S/Deal Owner Hubspot
75,elitecuritiba,Pedagógico,590.0,400 - 800,S/Deal Owner Hubspot
76,elitecuritibaemilianoperneta,Pedagógico,190.0,30 - 400,S/Deal Owner Hubspot
77,escolaceciliameireles,Pedagógico,220.0,30 - 400,Fernanda Pereira
78,escolamaster,Pedagógico,253.0,30 - 400,S/Deal Owner Hubspot
79,escolavida,Pedagógico,56.0,30 - 400,S/Deal Owner Hubspot
80,faculdadeflamingo,Pedagógico,1665.0,1200 - x,Fernanda Moreira
81,forumcultural,Pedagógico,31.0,30 - 400,S/Deal Owner Hubspot
82,francobrasileiro,Pedagógico,95.0,30 - 400,S/Deal Owner Hubspot
83,fundacaobradesco,Pedagógico,5.0,0 - 30,S/Deal Owner Hubspot
84,idaam,Pedagógico,2990.0,1200 - x,S/Deal Owner Hubspot
85,insa,Pedagógico,124.0,30 - 400,Fernanda Pereira
86,institutocristao,Diagnóstico,59.0,30 - 400,Fernanda Pereira
87,institutoeurofarma,Pedagógico,292.0,30 - 400,Fernanda Pereira
88,integra,Pedagógico,208.0,30 - 400,Ederson Fonseca
89,integradaeducativa,Pedagógico,585.0,400 - 800,Marcos Rocha
90,invictus,Pedagógico,129.0,30 - 400,Fernanda Moreira
91,isem,Pedagógico,481.0,400 - 800,Fernanda Moreira
92,itamarati,Pedagógico,732.0,400 - 800,S/Deal Owner Hubspot
93,jardimsaopaulo,Pedagógico,256.0,30 - 400,S/Deal Owner Hubspot
94,laboratoriosromildo,Pedagógico,155.0,30 - 400,Fernanda Pereira
95,litteratus,Pedagógico,244.0,30 - 400,S/Deal Owner Hubspot
96,macvest,Pedagógico,198.0,30 - 400,S/Deal Owner Hubspot
97,magister,Diagnóstico,316.0,30 - 400,Marcos Rocha
98,maplebearslz,Diagnóstico,617.0,400 - 800,S/Deal Owner Hubspot
99,mariliamattoso,Pedagógico,662.0,400 - 800,S/Deal Owner Hubspot
100,master,Pedagógico,4284.0,1200 - x,Magnum Queiroz
101,montessori,Diagnóstico,77.0,30 - 400,S/Deal Owner Hubspot
