,namespace,Produto,n_usuarios,licenças,Deal Owner,receita 2021,namespace hubspot
0,acessoalmirantetamandare,Pedagógico,209.0,30 - 400,Ederson Fonseca,15617.96,OK
1,acessoboqueirao,Pedagógico,481.0,400 - 800,Ederson Fonseca,39554.28,OK
2,acessocampolargo,Pedagógico,243.0,30 - 400,Ederson Fonseca,20676.23,OK
4,acessocampolargokids,Pedagógico,97.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
5,acessofazendariogrande,Pedagógico,325.0,30 - 400,Ederson Fonseca,26058.48,OK
6,acessohauer,Pedagógico,354.0,30 - 400,Ederson Fonseca,25836.08,OK
7,acessopinhais,Pedagógico,130.0,30 - 400,Ederson Fonseca,10837.72,OK
8,acessosantafelicidade,Pedagógico,438.0,400 - 800,Ederson Fonseca,35564.7,OK
9,acessosjpinhais,Pedagógico,789.0,400 - 800,Ederson Fonseca,53883.69,OK
10,adrianochan,Pedagógico,547.0,400 - 800,Marcos Rocha,27400.0,OK
11,aescobjetivo,Pedagógico,982.0,800 - 1200,Marcos Rocha,31500.0,OK
12,albertsabin,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
13,amadeus,Pedagógico,1313.0,1200 - x,Marcos Rocha,33651.07,OK
14,apogeustoantonio2,Pedagógico,1486.0,1200 - x,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
15,aprovest,Diagnóstico,85.0,30 - 400,Fernanda Pereira,2146.91,OK
16,brasilcursinhos,Pedagógico,229.0,30 - 400,Fernanda Pereira,S/Receita 2021 Hubspot,OK
17,camerinocursos,Pedagógico,970.0,800 - 1200,Fernanda Pereira,2739.26,OK
18,casdinhosjc,Pedagógico,1626.0,1200 - x,Cassiano Benetelli,S/Receita 2021 Hubspot,OK
19,casdvest,Pedagógico,1863.0,1200 - x,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
20,cbpdigital,Diagnóstico,385.0,30 - 400,Marcos Rocha,13770.0,OK
21,ceabb,Pedagógico,100.0,30 - 400,Fernanda Moreira,5503.7,OK
22,ceespacolivre,Pedagógico,501.0,400 - 800,Marcos Rocha,38052.0,OK
23,cem,Pedagógico,175.0,30 - 400,Fernanda Moreira,14919.0,OK
24,ceprimeiromundo,Pedagógico,897.0,800 - 1200,Ederson Fonseca,48324.77,OK
25,ciadosaber,Pedagógico,146.0,30 - 400,Fernanda Moreira,22661.1,OK
26,cnslpb,Diagnóstico,588.0,400 - 800,Fernanda Pereira,1814.16,OK
27,colegioarena,Pedagógico,1206.0,1200 - x,Marcos Rocha,37828.8,OK
28,colegiobatistaindependente,Diagnóstico,94.0,30 - 400,Fernanda Moreira,3810.24,OK
29,colegiobetelbrasileirosp,Pedagógico,458.0,400 - 800,Marcos Rocha,31978.8,OK
30,colegiobilac,Pedagógico,335.0,30 - 400,Fernanda Moreira,7725.6,OK
31,colegiobrasilia,Pedagógico,1334.0,1200 - x,Magnum Queiroz,146244.71,OK
32,colegiocb,Pedagógico,407.0,400 - 800,Marcos Rocha,35310.1,OK
33,colegiodasamericas,Pedagógico,334.0,30 - 400,Magnum Queiroz,68364.29,OK
34,colegioeag,Pedagógico,885.0,800 - 1200,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
35,colegioecursodesafio,Pedagógico,719.0,400 - 800,Fernanda Moreira,16193.52,OK
36,colegioecursoprogressao,Pedagógico,386.0,30 - 400,Marcos Rocha,25686.4,OK
37,colegioeducallis,Pedagógico,882.0,800 - 1200,Marcos Rocha,32127.55,OK
38,colegioensitec,Pedagógico,331.0,30 - 400,Fernanda Moreira,27720.0,OK
39,colegioflamingo,Pedagógico,242.0,30 - 400,Fernanda Moreira,7711.2,OK
40,colegiofuturageracao,Pedagógico,69.0,30 - 400,Fernanda Moreira,9600.0,OK
41,colegioglobal,Pedagógico,297.0,30 - 400,Marcos Rocha,20952.0,OK
42,colegioguilhermedealmeida,Pedagógico,835.0,800 - 1200,Marcos Rocha,43848.0,OK
43,colegioiguatemy,Pedagógico,438.0,400 - 800,Marcos Rocha,31978.8,OK
44,colegiointegral,Pedagógico,1882.0,1200 - x,Marcos Rocha,18000.0,OK
46,colegiojoaopaulo,Pedagógico,576.0,400 - 800,Ederson Fonseca,40544.15,OK
47,colegioliceu,Pedagógico,185.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
48,colegiomagnum,Pedagógico,502.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
49,colegiomartinus,Pedagógico,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
50,colegionovopatio,Diagnóstico,397.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
51,colegioplanck,Pedagógico,841.0,800 - 1200,Marcos Rocha,20691.0,OK
52,colegiopremium,Pedagógico,154.0,30 - 400,Fernanda Pereira,5028.0,OK
53,colegiopremiumgentil,Pedagógico,141.0,30 - 400,Fernanda Pereira,7542.0,OK
54,colegiosaberviver,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
