,namespace,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs
0,abdiasmartins,1.43,1.36,0.08,0.08
1,abiliomartins,1.39,1.39,0.04,0.1
2,acessoalmirantetamandare,1.51,1.21,0.24,0.03
3,acessoboqueirao,1.73,1.12,0.1,0.05
4,acessocampolargo,1.68,1.2,0.08,0.04
5,acessocampolargokids,1.52,1.17,0.32,0.0
6,acessofazendariogrande,1.62,1.22,0.09,0.05
7,acessohauer,1.72,1.08,0.18,0.02
8,acessopinhais,1.6,1.24,0.09,0.06
9,acessosantafelicidade,1.7,1.12,0.15,0.04
10,acessosjpinhais,1.48,1.41,0.05,0.07
11,adrianochan,1.46,1.38,0.01,0.15
12,aescobjetivo,1.63,1.25,0.1,0.02
13,alpha,1.43,1.18,0.21,0.15
14,amadeus,1.36,1.13,0.43,0.08
15,amais,1.23,1.6,0.0,0.17
16,anossaatmosfera,1.22,1.43,0.04,0.3
17,antoniairene,1.22,1.65,0.11,0.01
18,antoniolima,1.01,1.49,0.49,0.0
19,antoniomelo,1.32,1.19,0.18,0.15
20,apogeu,1.97,1.0,0.0,0.03
21,apogeustoantonio2,1.72,1.05,0.0,0.23
22,arena,1.19,1.43,0.0,0.38
23,beityaacov,1.34,1.25,0.0,0.41
24,benjaminconstant,1.26,1.25,0.0,0.49
25,benjamitacardona,1.08,1.67,0.08,0.17
26,bernardosayao,1.11,1.41,0.22,0.26
27,brasilcursinhos,1.69,1.07,0.07,0.15
28,casdinhosjc,1.44,1.43,0.01,0.12
29,casdvest,1.44,1.5,0.01,0.03
30,catarinense,1.26,1.24,0.0,0.5
31,ceabb,1.53,1.09,0.24,0.14
32,ceespacolivre,1.42,1.51,0.07,0.0
33,cem,1.21,1.5,0.11,0.16
34,ceprimeiromundo,1.66,1.12,0.19,0.02
35,ciadosaber,1.72,1.22,0.02,0.04
36,cognitivo,1.27,1.25,0.0,0.48
37,colegioarena,1.21,1.1,0.56,0.13
38,colegiobetelbrasileirosp,1.13,1.61,0.25,0.0
39,colegiobilac,1.19,1.2,0.37,0.25
40,colegiobrasilia,1.78,1.1,0.03,0.09
41,colegiocb,1.25,1.47,0.21,0.06
42,colegiodasamericas,1.54,1.25,0.15,0.04
43,colegioeag,1.21,1.49,0.26,0.01
44,colegioecursodesafio,1.09,1.57,0.21,0.14
45,colegioecursoprogressao,1.55,1.01,0.26,0.17
46,colegioeducallis,1.04,1.08,0.76,0.12
47,colegioensitec,1.34,1.45,0.16,0.05
48,colegioflamingo,1.43,1.11,0.21,0.2
49,colegiofuturageracao,1.35,1.12,0.48,0.04
50,colegioglobal,1.06,1.18,0.03,0.73
51,colegioguilhermedealmeida,1.28,1.09,0.52,0.1
52,colegioiguatemy,1.45,1.2,0.28,0.06
53,colegiointegral,1.18,1.6,0.12,0.09
