,namespace,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
0,abdiasmartins,0.4,0.0,26.0,0.0,0.0,0.0,7.0,3.98,0.1
1,acessoalmirantetamandare,40.62,4.0,0.78,0.12,0.0,18.8,36.0,55.33,0.89
2,acessoboqueirao,27.07,16.0,0.83,0.33,1.0,2.57,68.0,10.62,0.13
3,acessocampolargo,50.57,7.0,0.61,0.05,0.0,1.74,13.0,32.36,0.64
4,acessocampolargokids,36.68,13.0,2.32,0.0,0.0,0.0,22.0,21.59,0.27
5,acessofazendariogrande,35.87,9.0,0.49,0.0,0.0,2.57,65.0,24.13,0.1
6,acessohauer,29.49,70.0,2.89,0.11,0.0,0.0,288.0,80.42,0.38
7,acessopinhais,35.45,7.0,0.34,0.32,0.0,5.42,6.0,2.28,0.71
8,acessosantafelicidade,11.61,30.0,1.0,0.0,0.0,6.63,78.0,47.81,0.42
9,acessosjpinhais,58.72,246.0,0.86,1.07,2.0,13.07,550.0,67.58,0.61
10,adrianochan,7.04,0.0,270.0,6.79,1.0,6.75,1.0,1.66,0.0
11,aescobjetivo,67.96,15.0,0.84,11.48,0.0,0.5,32.0,44.56,0.58
12,alpha,30.51,18.0,0.47,0.4,0.0,1.04,147.0,86.08,0.63
13,amadeus,103.19,19.0,1.16,0.01,1.0,1.17,79.0,67.66,0.46
14,antoniairene,0.39,19.0,18.0,0.0,0.0,0.0,33.0,8.39,0.0
15,antoniolima,8.5,18.0,14.67,0.0,0.0,0.0,28.0,10.16,1.75
16,antoniomelo,0.09,0.0,43.0,0.0,0.0,0.0,2.0,4.37,0.09
17,apogeustoantonio2,1.04,0.0,3.06,0.0,0.0,4.22,7.0,20.76,0.01
18,brasilcursinhos,5.3,30.0,4.6,0.01,0.0,2.95,5.0,43.84,0.0
19,casdinhosjc,2.04,5.0,30.0,5.2,5.0,1.53,22.0,66.84,0.0
20,casdvest,2.0,0.0,108.0,0.0,0.0,8.76,1.0,11.85,0.0
