,namespace,(Prof) M.Correções,(Admin) M.Correções,(Prof) M.Comentários Forum,(Admin) M.Comentários Forum,(Student) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Resultados,(Student) M. de Likes,(Student) M. de Uploads
0,abdiasmartins,24.0,0.0,2.0,0.0,19.0,4.0,0.0,313.0,7.0
1,abiliomartins,3.0,0.0,0.0,0.0,14.0,1.0,0.0,170.0,0.0
2,acessoalmirantetamandare,1419.0,5.0,3.0,0.0,36.0,41.0,5.0,1573.0,80.0
3,acessoboqueirao,5014.0,0.0,16.0,0.0,62.0,217.0,37.0,1204.0,45.0
4,acessocampolargo,2713.0,2.0,3.0,0.0,11.0,76.0,28.0,1493.0,50.0
5,acessocampolargokids,300.0,0.0,19.0,0.0,33.0,3.0,0.0,319.0,10.0
6,acessofazendariogrande,2808.0,10.0,5.0,0.0,67.0,171.0,20.0,1511.0,47.0
7,acessohauer,2235.0,274.0,76.0,16.0,384.0,29.0,11.0,5355.0,225.0
8,acessopinhais,1310.0,45.0,3.0,0.0,11.0,86.0,31.0,259.0,16.0
9,acessosantafelicidade,634.0,0.0,22.0,0.0,94.0,138.0,25.0,4436.0,159.0
10,acessosjpinhais,13961.0,115.0,299.0,3.0,589.0,187.0,15.0,8107.0,375.0
11,adrianochan,1631.0,454.0,0.0,1.0,1.0,0.0,0.0,121.0,0.0
12,aescobjetivo,8973.0,1265.0,12.0,0.0,67.0,259.0,613.0,6670.0,178.0
13,alpha,3560.0,39.0,30.0,0.0,222.0,212.0,162.0,7118.0,117.0
14,amadeus,8690.0,11.0,20.0,2.0,150.0,177.0,141.0,11011.0,92.0
15,antoniairene,7.0,0.0,27.0,0.0,44.0,1.0,0.0,188.0,0.0
16,antoniolima,1472.0,2.0,33.0,0.0,38.0,2.0,0.0,1387.0,353.0
17,antoniomelo,17.0,0.0,0.0,0.0,4.0,1.0,0.0,342.0,5.0
18,apogeustoantonio2,101.0,0.0,0.0,0.0,3.0,0.0,17.0,411.0,1.0
19,brasilcursinhos,276.0,0.0,42.0,0.0,6.0,7.0,42.0,2878.0,0.0
20,casdinhosjc,30.0,0.0,0.0,0.0,11.0,1.0,4.0,1795.0,0.0
21,casdvest,279.0,0.0,1.0,0.0,1.0,0.0,9.0,465.0,0.0
22,cbpdigital,790.0,0.0,0.0,0.0,0.0,48.0,145.0,0.0,0.0
23,ceabb,113.0,6.0,0.0,0.0,12.0,0.0,0.0,1371.0,5.0
24,ceespacolivre,526.0,64.0,12.0,0.0,65.0,12.0,0.0,1973.0,189.0
25,cem,2212.0,162.0,19.0,0.0,81.0,6.0,3.0,2163.0,93.0
26,ceprimeiromundo,2422.0,16.0,15.0,0.0,77.0,22.0,61.0,2054.0,64.0
27,ciadosaber,385.0,0.0,5.0,0.0,59.0,5.0,0.0,2089.0,0.0
28,colegioarena,1866.0,36.0,0.0,0.0,4.0,4.0,136.0,283.0,7.0
29,colegiobatistaindependente,262.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0
30,colegiobetelbrasileirosp,729.0,2.0,8.0,0.0,14.0,14.0,3.0,172.0,2.0
31,colegiobilac,2547.0,11.0,14.0,0.0,92.0,23.0,1.0,5951.0,24.0
32,colegiobrasilia,3551.0,561.0,1022.0,285.0,2570.0,20.0,95.0,83620.0,508.0
33,colegiocb,3839.0,0.0,69.0,0.0,172.0,153.0,0.0,6159.0,92.0
34,colegiodasamericas,6974.0,742.0,124.0,4.0,394.0,194.0,88.0,3932.0,261.0
35,colegioeag,6343.0,60.0,4.0,0.0,304.0,124.0,0.0,3791.0,1270.0
36,colegioecursodesafio,5916.0,0.0,1.0,0.0,37.0,57.0,4.0,11505.0,64.0
37,colegioecursoprogressao,1251.0,1.0,5.0,0.0,22.0,465.0,1.0,1826.0,80.0
38,colegioeducallis,2874.0,2.0,0.0,0.0,7.0,0.0,218.0,308.0,4.0
39,colegioensitec,8966.0,0.0,4.0,0.0,94.0,54.0,2.0,1831.0,157.0
40,colegioflamingo,1083.0,0.0,0.0,0.0,4.0,14.0,10.0,407.0,5.0
41,colegiofuturageracao,521.0,0.0,4.0,0.0,26.0,7.0,1.0,305.0,5.0
42,colegioglobal,4406.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
43,colegioguilhermedealmeida,9603.0,480.0,1.0,0.0,37.0,73.0,34.0,8692.0,366.0
44,colegioiguatemy,3150.0,381.0,192.0,98.0,920.0,51.0,11.0,16621.0,27.0
45,colegiointegral,3419.0,2304.0,369.0,0.0,1000.0,20.0,582.0,32696.0,305.0
46,colegiojoaopaulo,4348.0,161.0,144.0,9.0,297.0,159.0,43.0,5543.0,254.0
47,colegioliceu,114.0,0.0,0.0,0.0,1.0,2.0,5.0,62.0,0.0
48,colegioplanck,1088.0,243.0,0.0,0.0,12.0,0.0,262.0,954.0,0.0
49,colegiopremium,685.0,1.0,0.0,0.0,6.0,10.0,1.0,225.0,1.0
50,colegioriobranco,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
51,colegiosete,2044.0,0.0,2.0,1.0,65.0,54.0,138.0,5399.0,280.0
52,colegiouirapuru,1865.0,0.0,0.0,0.0,7.0,24.0,0.0,3345.0,3.0
53,colegiouniverso,1072.0,0.0,0.0,0.0,4.0,4.0,108.0,1162.0,135.0
54,colegioup,10536.0,78.0,0.0,0.0,0.0,72.0,13.0,0.0,1.0
55,conexaosaber,510.0,0.0,3.0,0.0,16.0,1.0,0.0,465.0,152.0
56,conradochaves,169.0,0.0,4.0,0.0,23.0,0.0,0.0,1053.0,16.0
57,crescercampinas,2837.0,813.0,0.0,0.0,0.0,27.0,321.0,0.0,3.0
58,cursobase,415.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0
59,cursoisfera,71.0,21.0,0.0,0.0,0.0,0.0,166.0,4.0,0.0
60,cursosazambuja,11.0,1938.0,1.0,2.0,44.0,0.0,43.0,2059.0,0.0
61,deltaeducacional,13.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
62,eacorcovado,3384.0,332.0,0.0,0.0,9.0,12.0,39.0,1584.0,70.0
63,eccos,5916.0,1214.0,374.0,3.0,1092.0,20.0,13.0,16570.0,46.0
64,educamais,2.0,0.0,7.0,0.0,9.0,1.0,0.0,1.0,5.0
65,educandarioterciocorreia,807.0,172.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66,educarse,13.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0
67,einsteinassis,263.0,15.0,2.0,0.0,19.0,5.0,6.0,413.0,11.0
68,eldapereira,22.0,0.0,4.0,0.0,5.0,4.0,0.0,30.0,5.0
69,elitecuritibaemilianoperneta,707.0,54.0,0.0,0.0,0.0,16.0,94.0,100.0,39.0
70,escolaceciliameireles,1.0,9.0,0.0,0.0,3.0,0.0,0.0,58.0,1.0
71,escolamaster,4.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,0.0
72,faculdadeflamingo,1859.0,300.0,76.0,0.0,337.0,137.0,65.0,19851.0,54.0
73,franciscopinto,4.0,0.0,2.0,0.0,7.0,3.0,0.0,87.0,0.0
74,gamt,990.0,660.0,0.0,0.0,8.0,0.0,0.0,1109.0,120.0
75,guilhermefilho,4.0,0.0,4.0,0.0,7.0,0.0,0.0,92.0,0.0
76,hamiltondarocha,809.0,0.0,8.0,0.0,157.0,26.0,2.0,3542.0,63.0
77,insa,266.0,0.0,0.0,0.0,0.0,0.0,4.0,1257.0,0.0
78,institutocristao,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,institutoeurofarma,53.0,1040.0,3.0,9.0,16.0,0.0,10.0,1782.0,0.0
80,integra,10441.0,307.0,279.0,9.0,511.0,0.0,12.0,4643.0,1735.0
81,integradaeducativa,1863.0,0.0,5.0,0.0,45.0,131.0,1.0,3409.0,67.0
82,invictus,2275.0,35.0,0.0,0.0,4.0,0.0,1.0,1429.0,15.0
83,ipdhsolucoes,13.0,1.0,0.0,0.0,14.0,0.0,0.0,863.0,8.0
84,isem,4530.0,9.0,58.0,0.0,146.0,7.0,10.0,3947.0,42.0
85,itamarati,1176.0,9.0,19.0,0.0,72.0,3.0,0.0,1275.0,15.0
86,joaobelem,7.0,0.0,3.0,0.0,51.0,2.0,0.0,952.0,0.0
87,joaorosa,1.0,0.0,1.0,0.0,1.0,0.0,0.0,284.0,0.0
88,joaosampaio,24.0,0.0,0.0,0.0,20.0,2.0,0.0,371.0,2.0
89,josepinheiro,303.0,0.0,0.0,0.0,27.0,16.0,0.0,1390.0,3.0
90,macvest,297.0,4.0,0.0,1.0,9.0,3.0,49.0,2605.0,0.0
91,magister,484.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
92,maplebearslz,4524.0,2.0,0.0,0.0,0.0,86.0,205.0,0.0,1.0
93,mariaeunice,47.0,0.0,1.0,0.0,7.0,2.0,0.0,1061.0,3.0
94,marialaura,69.0,0.0,10.0,1.0,6.0,1.0,0.0,422.0,22.0
95,marianair,2.0,0.0,6.0,0.0,28.0,1.0,0.0,2156.0,0.0
96,mariaolinda,55.0,0.0,21.0,0.0,16.0,1.0,0.0,82.0,5.0
97,mariliamattoso,20182.0,0.0,28.0,1.0,101.0,69.0,7.0,4125.0,11.0
98,moaciralves,90.0,0.0,6.0,0.0,35.0,0.0,1.0,782.0,0.0
99,mocinhagomes,27.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,6.0
100,murilorocha,669.0,0.0,46.0,1.0,367.0,15.0,2.0,9635.0,25.0
101,nsfatima,216.0,0.0,4.0,0.0,22.0,0.0,0.0,217.0,27.0
102,nucleocriativo,23.0,49.0,0.0,0.0,40.0,1.0,0.0,624.0,2.0
103,objetivolorena,3317.0,0.0,120.0,0.0,333.0,75.0,58.0,12057.0,68.0
104,overabelcabral,1881.0,3.0,73.0,7.0,307.0,38.0,10.0,7848.0,158.0
105,overjoaopessoa,6.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,0.0
106,overlimaesilva,163.0,0.0,3.0,0.0,15.0,19.0,2.0,299.0,11.0
107,overmarciliofurtado,328.0,1.0,1.0,0.0,25.0,23.0,12.0,1341.0,110.0
108,overmossoro,181.0,0.0,0.0,0.0,14.0,13.0,10.0,295.0,22.0
109,overpontanegra,554.0,0.0,2.0,0.0,37.0,7.0,10.0,2354.0,57.0
110,overzonanorte,796.0,0.0,34.0,0.0,89.0,14.0,11.0,1014.0,46.0
111,physicsalcindocacela,25.0,0.0,3.0,2.0,16.0,0.0,43.0,954.0,0.0
112,physicsalmirantebarroso,1130.0,0.0,85.0,1.0,227.0,44.0,104.0,5524.0,16.0
113,physicsaugustomontenegro,700.0,0.0,60.0,0.0,218.0,31.0,58.0,2743.0,9.0
114,physicsbatistacampos,2558.0,0.0,65.0,0.0,268.0,6.0,113.0,8844.0,112.0
115,physicscidadenova,974.0,0.0,85.0,0.0,290.0,14.0,140.0,7639.0,62.0
116,physicsconselheirofurtado,17.0,0.0,1.0,0.0,0.0,1.0,12.0,1367.0,0.0
117,physicsmacapa,459.0,0.0,2.0,0.0,10.0,6.0,81.0,1115.0,0.0
118,physicsumarizal,282.0,4.0,63.0,4.0,666.0,12.0,56.0,6120.0,20.0
119,pioxi,10990.0,18.0,51.0,0.0,133.0,10.0,13.0,6750.0,128.0
120,pioxiicolegio,3794.0,0.0,0.0,0.0,0.0,83.0,9.0,0.0,0.0
121,portinari,4598.0,22.0,60.0,0.0,284.0,130.0,287.0,11068.0,358.0
122,porto,13362.0,3.0,2.0,0.0,9.0,238.0,5.0,7371.0,6.0
123,primeirodemaio,16.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,0.0
124,prismapatrocinio,138.0,46.0,0.0,0.0,0.0,275.0,44.0,0.0,42.0
125,provaspoliedro,39333.0,408.0,0.0,0.0,0.0,31.0,1130.0,65.0,177.0
126,psantagema,1291.0,0.0,0.0,0.0,1.0,38.0,4.0,225.0,16.0
127,raimundoalves,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0
128,santoamerico,9032.0,2.0,1.0,0.0,121.0,75.0,2.0,4227.0,803.0
129,sas,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0
130,sasadapt,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
131,senhorbonfim,40.0,0.0,22.0,0.0,132.0,2.0,1.0,1510.0,0.0
