,namespace,M. Total Questões,M. Questões Disc,M. Questões Banco
0,abdiasmartins,4.12,0.81,0.0
1,abiliomartins,0.18,0.05,0.15
2,acessoalmirantetamandare,11.42,4.02,2.66
3,acessoboqueirao,11.52,1.65,1.44
4,acessocampolargo,14.39,2.22,1.9
5,acessocampolargokids,3.6,3.11,0.0
6,acessofazendariogrande,9.03,3.62,2.13
7,acessohauer,5.04,1.82,0.02
8,acessopinhais,10.72,1.18,4.29
9,acessosantafelicidade,24.19,10.06,1.56
10,acessosjpinhais,8.85,3.14,0.96
11,adrianochan,8.16,0.6,3.75
12,aescobjetivo,22.18,1.03,0.42
13,albertocabral,0.0,0.0,0.0
14,alpha,30.85,2.7,5.57
15,amadeus,22.25,8.29,1.79
16,amais,0.0,0.0,0.0
17,anossaatmosfera,34.02,0.08,0.0
18,antoniairene,0.06,0.0,0.0
19,antoniomelo,3.29,0.4,0.31
20,apogeu,0.0,0.0,0.0
21,apogeustoantonio2,16.44,0.66,1.05
22,aprovest,0.0,0.0,0.0
23,arena,7.8100000000000005,3.0,21.0
24,arturtavares,0.0,0.0,0.0
25,barraazul,2.0,0.0,0.0
26,beityaacov,7.8100000000000005,0.5,10.31
27,benjaminconstant,40.0,0.25,0.0
28,benjamitacardona,0.0,0.0,0.0
29,bernardosayao,0.0,0.0,0.0
30,brasilcursinhos,29.51,0.5,1.45
31,camerinocursos,7.8100000000000005,0.0,0.65
32,casdinhosjc,1.32,0.03,0.32
33,casdvest,1.92,0.01,0.11
34,cbpdigital,32.18,2.81,0.03
35,ceabb,22.69,9.16,2.45
36,ceespacolivre,7.32,3.53,0.54
37,cem,39.03,21.6,5.47
38,ceprimeiromundo,23.02,6.3,0.77
39,cfc,0.0,0.0,0.0
40,ciadosaber,24.65,14.62,0.17
41,cnslpb,3.94,0.03,15.56
42,cognitivo,7.8100000000000005,0.5,2.5
43,colegioanchietai,0.0,0.0,0.0
44,colegioanchietaii,0.0,0.0,0.0
45,colegioarena,24.96,2.5,0.54
46,colegiobatistaindependente,71.9,5.12,3.07
47,colegiobetelbrasileirosp,2.1,0.87,0.03
48,colegiobianguloiv,0.0,0.0,0.0
49,colegiobilac,24.56,2.85,0.01
50,colegiobrasilia,38.32,0.8,1.5
51,colegiocb,21.98,3.41,4.51
52,colegiodasamericas,20.66,7.84,2.83
53,colegioeag,3.7,0.43,0.77
54,colegioecursodesafio,36.34,10.08,17.04
55,colegioecursoprogressao,43.29,0.78,13.38
56,colegioeducallis,25.09,6.26,0.02
57,colegioensitec,19.48,6.35,1.96
58,colegioflamingo,7.8100000000000005,10.77,0.65
59,colegiofuturageracao,48.72,21.34,0.38
60,colegioglobal,17.87,4.24,3.08
61,colegioguilhermedealmeida,6.88,3.21,2.47
62,colegioiguatemy,31.95,10.67,8.66
63,colegiointegral,36.5,0.81,3.59
64,colegiojoaopaulo,36.8,4.69,0.32
65,colegioliceu,7.8100000000000005,0.5,0.0
66,colegiomagnum,1.04,0.0,0.16
67,colegionovopatio,1.29,0.04,3.8
68,colegioplanck,9.93,2.94,0.0
69,colegiopremium,55.59,5.81,0.01
70,colegioriobranco,7.8100000000000005,0.5,2.0
71,colegiosantamaria,7.8100000000000005,0.5,14.0
72,colegiosaoluis,0.0,0.0,0.0
73,colegiosete,18.14,1.11,3.13
74,colegiouirapuru,7.78,0.21,0.97
75,colegiouniverso,15.73,1.05,1.6
76,colegioup,58.35,26.72,0.2
77,conexaosaber,18.6,11.78,0.01
78,conradochaves,0.04,0.0,0.04
79,contemporaneocidadeverde,10.48,0.01,0.76
80,contemporaneolagoanova,7.55,0.0,1.57
81,cotemig,0.08,0.01,0.04
82,crb,13.59,4.01,0.0
83,crescercampinas,13.84,4.51,2.75
84,cursobase,4.62,0.29,12.74
85,cursoenfase,4.24,0.01,0.02
86,cursoisfera,7.8100000000000005,2.09,0.69
87,cursoleopoldo,2.06,0.0,0.0
88,cursosazambuja,8.72,0.06,0.65
89,dante,7.8100000000000005,0.5,9.56
90,deltaeducacional,7.8100000000000005,6.96,0.65
