,namespace,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de  Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs
0,acessoalmirantetamandare,45.34,13.16,1.45,28.02,1.23,0.45,2.21,0.0
1,acessoboqueirao,33.17,2.77,4.64,15.38,0.25,0.89,1.22,0.0
2,acessocampolargo,37.31,5.53,2.58,36.46,3.84,0.77,4.79,0.0
3,acessocampolargokids,41.11,0.0,5.93,7.42,0.0,0.74,0.0,0.0
4,acessofazendariogrande,21.8,5.63,0.83,10.04,0.1,0.09,0.0,0.0
5,acessohauer,43.58,10.74,13.45,16.59,0.66,9.66,0.0,0.0
6,acessopinhais,13.44,2.31,4.5,24.84,1.6,0.7,1.07,0.0
7,acessosantafelicidade,31.72,5.83,1.63,25.96,1.01,0.25,1.59,0.0
8,acessosjpinhais,18.39,3.86,8.5,4.57,0.16,2.28,0.0,1.12
9,adrianochan,34.81,0.87,1.11,37.07,4.86,21.63,0.0,1.71
10,aescobjetivo,4.67,14.23,1.56,2.68,4.04,0.37,1.0,0.5
11,alpha,0.36,5.7,1.95,0.04,2.33,1.05,4.0,0.0
12,amadeus,8.4,5.3,7.02,11.93,0.52,1.3,0.0,1.2
13,apogeustoantonio2,1.34,1.14,0.9,3.8,1.46,12.05,0.0,1.67
14,beityaacov,3.0,0.0,0.0,14.5,0.0,0.69,22.0,0.0
15,brasilcursinhos,3.44,7.24,20.37,1.18,0.14,0.93,0.0,0.0
16,casdinhosjc,5.81,3.35,3.14,22.53,2.13,4.21,27.29,2.09
17,casdvest,7.4,4.95,2.89,8.21,0.16,0.48,29.0,0.0
18,cats,0.79,4.5,2.81,1.86,0.19,0.12,0.0,0.0
19,ceabb,4.72,7.38,inf,1.27,0.95,inf,0.0,0.0
20,ceespacolivre,10.91,11.6,50.17,3.58,1.64,8.5,1.0,0.0
21,cem,5.43,3.11,inf,2.96,0.24,inf,0.0,1.22
22,ceprimeiromundo,5.46,6.51,3.63,1.01,0.05,0.32,0.0,0.12
23,ciadosaber,13.18,7.05,12.29,0.13,0.0,0.0,0.0,0.0
24,colegioarena,0.82,0.8,0.33,2.12,0.77,0.44,20.5,4.8
25,colegiobetelbrasileirosp,5.68,9.43,0.9,4.55,0.45,0.21,0.0,0.28
26,colegiobilac,27.82,11.08,9.38,10.12,3.38,4.25,1.67,0.0
