,namespace,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs
0,acessoalmirantetamandare,32.64,10.6,0.24,14.73,0.48,0.02,0.01,0.02,141.99,11.16
1,acessoboqueirao,12.72,2.42,0.52,3.47,0.08,0.06,0.01,0.0,156.76,9.18
2,acessocampolargo,24.02,2.88,0.33,28.62,1.36,0.02,0.05,0.0,151.78,14.48
3,acessocampolargokids,15.32,0.0,0.35,1.12,0.0,0.38,0.0,0.0,15.12,0.0
4,acessofazendariogrande,10.97,5.66,0.1,7.3,0.76,0.05,0.02,0.0,124.76,11.7
5,acessohauer,18.51,2.91,1.57,9.11,0.16,1.25,0.0,0.0,92.61,5.87
6,acessopinhais,9.94,4.36,0.61,10.87,0.25,0.07,0.2,0.0,152.3,17.45
7,acessosantafelicidade,37.74,3.9,0.16,29.73,0.76,0.0,0.02,0.0,178.1,9.55
8,acessosjpinhais,10.29,6.3,3.48,1.19,0.13,0.1,0.0,0.0,104.13,8.53
9,adrianochan,7.09,0.12,0.0,9.02,2.2,0.45,0.0,0.01,56.94,1.61
10,aescobjetivo,7.4,0.02,0.11,4.07,0.0,0.09,0.06,0.0,56.0,0.07
11,alpha,0.02,19.47,1.35,0.02,8.79,0.97,0.0,0.0,0.06,48.05
12,amadeus,7.9,3.65,0.29,10.36,0.57,0.05,0.0,0.0,91.46,7.07
13,amais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,apogeu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,apogeustoantonio2,0.3,0.38,0.02,1.38,0.43,0.05,0.0,0.02,19.43,1.43
16,aprovest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,beityaacov,0.5,0.0,0.0,4.75,0.0,2.5,1.5,0.0,0.0,0.75
18,benjaminconstant,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.25
19,brasilcursinhos,4.2,19.43,5.38,6.46,0.02,0.25,0.0,0.0,28.48,11.5
20,casdinhosjc,0.02,0.12,0.02,0.39,0.07,0.01,0.0,0.0,4.72,0.26
21,casdvest,0.16,0.07,0.12,0.47,0.0,0.0,0.0,0.0,3.25,0.04
22,cbpdigital,22.72,0.0,0.0,14.0,0.0,0.0,0.0,0.01,52.73,0.0
23,ceabb,4.91,6.82,0.28,0.79,0.02,0.18,0.02,0.04,9.11,7.98
24,ceespacolivre,5.19,0.43,0.34,1.44,0.0,0.0,0.0,0.0,18.15,0.57
25,cem,21.62,29.34,1.35,8.18,2.18,0.17,0.0,0.02,177.67,29.78
26,ceprimeiromundo,7.7,0.75,0.34,2.5,0.0,0.04,0.0,0.0,16.95,0.65
27,cermac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,ciadosaber,20.98,0.4,1.55,0.07,0.0,0.0,0.0,0.0,43.45,0.72
29,cnslpb,5.54,0.0,0.0,0.52,0.0,0.0,0.0,0.0,18.76,0.0
30,colegioarena,1.64,0.0,0.01,2.45,0.02,0.04,0.0,0.0,74.16,0.54
31,colegiobatistaindependente,62.27,0.0,0.0,14.5,0.0,0.0,0.0,0.0,156.23,0.0
32,colegiobetelbrasileirosp,3.3,0.02,0.04,3.78,0.0,0.02,0.0,0.0,38.86,0.03
33,colegiobilac,44.99,4.0,0.13,18.68,2.09,0.02,0.01,0.0,62.48,10.29
34,colegiobrasilia,27.62,5.75,3.38,12.35,1.24,0.37,0.0,0.0,117.91,9.56
35,colegiocb,38.17,6.57,1.29,0.17,0.01,0.0,0.01,0.01,96.74,11.93
36,colegiodasamericas,19.91,18.77,10.8,11.93,2.52,7.16,0.01,0.01,108.25,24.27
37,colegioeag,0.81,4.42,0.08,0.3,0.48,0.02,0.0,0.0,6.07,5.87
38,colegioecursodesafio,31.75,5.47,0.67,4.26,0.48,0.04,0.0,0.0,113.42,11.4
39,colegioecursoprogressao,16.3,2.51,0.79,6.97,0.56,0.06,0.01,0.0,133.51,8.08
40,colegioeducallis,38.01,0.0,0.32,7.61,0.02,0.05,0.0,0.0,54.08,0.48
41,colegioensitec,16.04,6.96,0.27,23.95,0.97,0.01,0.0,0.0,56.76,8.19
42,colegioflamingo,77.43,23.04,1.68,1.14,0.07,0.0,0.0,0.0,140.07,15.54
43,colegiofuturageracao,54.19,0.35,0.71,10.61,0.19,0.16,0.0,0.0,137.97,0.48
44,colegioglobal,54.18,0.11,0.0,7.5,0.0,0.0,0.0,0.01,155.4,0.05
45,colegioguilhermedealmeida,0.63,10.53,1.14,0.56,1.23,0.19,0.0,0.0,8.52,25.64
46,colegioiguatemy,9.06,4.89,1.26,7.14,2.22,0.68,0.0,0.01,105.62,18.07
47,colegiointegral,4.14,4.8,0.03,9.92,0.47,28.67,0.0,0.0,65.35,19.62
48,colegiojoaopaulo,9.83,1.82,0.56,0.87,0.09,0.04,0.0,0.0,61.54,4.11
49,colegioliceu,0.22,4.39,0.52,0.33,0.0,0.0,0.0,0.0,1.85,6.28
50,colegiomagnum,0.18,0.0,0.02,0.05,0.0,0.0,0.0,0.0,5.13,0.0
51,colegioplanck,1.06,0.0,0.0,8.45,0.0,0.13,0.02,0.0,20.14,0.0
52,colegiopremium,16.33,0.92,0.58,13.87,0.04,0.0,0.0,0.0,15.53,0.37
53,colegioriobranco,3.0,3.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
54,colegiosantamaria,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
55,colegiosete,3.29,4.59,0.55,0.98,0.49,0.03,0.0,0.01,52.21,12.98
56,colegiouirapuru,9.83,2.27,0.06,0.23,0.01,0.0,0.0,0.0,18.69,3.81
57,colegiouniverso,3.16,1.21,0.03,6.58,1.34,0.0,0.0,0.0,38.31,2.1
58,colegioup,17.47,0.0,0.0,7.33,0.0,0.0,0.0,0.0,76.65,0.0
59,conexaosaber,13.11,0.01,0.19,0.42,0.0,0.02,0.0,0.0,5.31,0.0
60,contemporaneocidadeverde,5.38,0.0,0.0,2.92,0.0,0.0,0.0,0.0,41.7,0.0
61,contemporaneolagoanova,3.19,0.0,0.0,2.63,0.0,0.0,0.01,0.01,50.82,0.0
62,cotemig,0.46,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.39,0.0
63,crescercampinas,7.01,0.0,0.0,7.1,0.0,0.0,0.0,0.0,87.65,0.0
64,cursobase,0.58,1.24,0.03,1.55,0.42,0.21,0.0,0.0,4.88,2.18
65,cursoisfera,3.28,0.31,0.15,9.72,0.0,0.46,0.0,0.0,42.82,0.36
66,cursosazambuja,0.43,0.34,0.12,1.34,0.06,0.04,0.0,0.0,20.06,3.93
