,namespace,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs
0,acessoalmirantetamandare,3068.0,996.0,23.0,1385.0,45.0,2.0,1.0,2.0,13347.0,1049.0
1,acessoboqueirao,2977.0,567.0,121.0,811.0,18.0,14.0,2.0,0.0,36683.0,2147.0
2,acessocampolargo,2955.0,354.0,41.0,3520.0,167.0,2.0,6.0,0.0,18669.0,1781.0
3,acessocampolargokids,521.0,0.0,12.0,38.0,0.0,13.0,0.0,0.0,514.0,0.0
4,acessofazendariogrande,1843.0,951.0,17.0,1227.0,128.0,9.0,4.0,0.0,20960.0,1965.0
5,acessohauer,3073.0,483.0,260.0,1512.0,27.0,208.0,0.0,0.0,15373.0,974.0
6,acessopinhais,686.0,301.0,42.0,750.0,17.0,5.0,14.0,0.0,10509.0,1204.0
7,acessosantafelicidade,8341.0,861.0,36.0,6570.0,167.0,1.0,4.0,0.0,39359.0,2111.0
8,acessosjpinhais,3591.0,2199.0,1216.0,415.0,44.0,35.0,0.0,0.0,36342.0,2977.0
9,adrianochan,1715.0,28.0,0.0,2183.0,533.0,108.0,0.0,3.0,13780.0,389.0
10,aescobjetivo,4461.0,15.0,66.0,2457.0,2.0,57.0,35.0,0.0,33766.0,43.0
11,alpha,4.0,4984.0,346.0,4.0,2250.0,249.0,1.0,1.0,15.0,12302.0
12,amadeus,3399.0,1571.0,123.0,4455.0,244.0,23.0,0.0,0.0,39327.0,3041.0
13,amais,1114.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,47.0,0.0
14,apogeu,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
15,apogeustoantonio2,36.0,46.0,2.0,168.0,52.0,6.0,0.0,2.0,2370.0,174.0
16,aprovest,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
17,beityaacov,2.0,0.0,0.0,19.0,0.0,10.0,6.0,0.0,0.0,3.0
18,benjaminconstant,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
