,namespace,Total Conteudos,PDFS,Videos,Tarefas,S.Exs
0,abdiasmartins,318,121.0,112.0,34.0,26.0
1,abiliomartins,119,33.0,48.0,26.0,6.0
2,acessoalmirantetamandare,2385,1107.0,662.0,513.0,91.0
3,acessoboqueirao,2361,1579.0,100.0,394.0,191.0
4,acessocampolargo,2965,1710.0,735.0,316.0,127.0
5,acessocampolargokids,698,347.0,115.0,236.0,0.0
6,acessofazendariogrande,1827,1119.0,403.0,160.0,135.0
7,acessohauer,3280,1875.0,72.0,921.0,64.0
8,acessopinhais,1117,658.0,212.0,109.0,73.0
9,acessosantafelicidade,3326,2135.0,332.0,733.0,115.0
10,acessosjpinhais,6605,2952.0,2800.0,311.0,486.0
11,adrianochan,1587,693.0,630.0,1.0,238.0
12,aescobjetivo,5884,4061.0,1090.0,650.0,13.0
13,alpha,4969,2206.0,978.0,550.0,945.0
14,amadeus,7276,2798.0,1096.0,2781.0,594.0
15,amais,419,24.0,394.0,0.0,0.0
16,anossaatmosfera,782,73.0,556.0,13.0,130.0
17,antoniairene,243,52.0,154.0,32.0,1.0
18,antoniolima,2101,7.0,1102.0,968.0,0.0
19,antoniomelo,125,47.0,16.0,23.0,15.0
20,apogeu,15,11.0,0.0,0.0,4.0
21,apogeustoantonio2,230,203.0,7.0,0.0,19.0
22,arena,397,232.0,81.0,0.0,83.0
23,arturtavares,13,2.0,2.0,2.0,7.0
24,barraazul,25,5.0,9.0,3.0,4.0
25,beityaacov,4720,1597.0,1182.0,0.0,1939.0
26,benjaminconstant,70,34.0,16.0,1.0,17.0
27,bernardosayao,25,3.0,9.0,6.0,7.0
28,blueschooleducacional,17,0.0,17.0,0.0,0.0
29,brasilcursinhos,1283,797.0,108.0,72.0,216.0
30,casdinhosjc,426,176.0,214.0,0.0,36.0
31,casdvest,921,559.0,260.0,22.0,25.0
32,ceabb,828,516.0,69.0,191.0,48.0
33,ceespacolivre,2271,1373.0,536.0,304.0,6.0
34,cem,3828,1294.0,789.0,698.0,979.0
35,ceprimeiromundo,4321,2699.0,597.0,903.0,59.0
36,ciadosaber,456,270.0,178.0,4.0,4.0
37,cognitivo,262,110.0,57.0,4.0,91.0
38,colegioarena,272,56.0,6.0,99.0,110.0
39,colegiobetelbrasileirosp,733,65.0,621.0,45.0,0.0
40,colegiobiangulo,17,0.0,17.0,0.0,0.0
41,colegiobianguloiv,17,0.0,17.0,0.0,0.0
42,colegiobilac,544,92.0,77.0,205.0,137.0
43,colegiobrasilia,20880,16229.0,1977.0,789.0,1279.0
44,colegiocb,2631,652.0,991.0,754.0,200.0
45,colegiodasamericas,7396,3496.0,1301.0,1141.0,323.0
46,colegioeag,17883,3116.0,7788.0,5140.0,214.0
