,namespace,Total Conteudos,ARTICLE,Tarefas,AUDIO,EMBEDCONTENT,S.Exs,GDOCS,GSHEETS,GSLIDES,LINKCONTENT,LINKEDEXAM,PRESENTATION,VIDEO,VIDEOCONF
0,abdiasmartins,318,17.0,34.0,0.0,0.0,26.0,0.0,0.0,6.0,25.0,0.0,98.0,103.0,9.0
1,abiliomartins,127,10.0,30.0,2.0,1.0,6.0,1.0,0.0,0.0,3.0,0.0,26.0,43.0,5.0
2,acessoalmirantetamandare,2641,451.0,589.0,0.0,0.0,104.0,1.0,0.0,2.0,12.0,0.0,786.0,206.0,490.0
3,acessoboqueirao,2629,205.0,430.0,0.0,0.0,211.0,3.0,0.0,0.0,98.0,1.0,1567.0,49.0,65.0
4,acessocampolargo,3254,1166.0,356.0,0.0,0.0,138.0,0.0,0.0,3.0,90.0,0.0,732.0,199.0,570.0
5,acessocampolargokids,759,261.0,252.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,129.0,115.0,0.0
6,acessofazendariogrande,2048,557.0,180.0,0.0,0.0,151.0,6.0,0.0,8.0,9.0,1.0,658.0,48.0,430.0
7,acessohauer,3477,1054.0,984.0,0.0,0.0,75.0,0.0,0.0,6.0,371.0,5.0,910.0,36.0,36.0
8,acessopinhais,1258,282.0,118.0,0.0,0.0,85.0,0.0,0.0,8.0,75.0,2.0,438.0,66.0,184.0
9,acessosantafelicidade,3797,1352.0,859.0,0.0,3.0,125.0,1.0,0.0,0.0,8.0,3.0,1074.0,122.0,250.0
10,acessosjpinhais,7450,1795.0,334.0,0.0,0.0,517.0,2.0,0.0,1.0,65.0,2.0,1563.0,334.0,2837.0
11,adrianochan,1698,1.0,1.0,0.0,9.0,247.0,0.0,0.0,0.0,5.0,14.0,735.0,80.0,606.0
12,aescobjetivo,6363,583.0,692.0,0.0,2.0,14.0,78.0,0.0,29.0,67.0,3.0,3791.0,1065.0,39.0
13,albertocabral,10,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
14,alpha,5267,553.0,555.0,1.0,0.0,1104.0,26.0,6.0,78.0,292.0,0.0,1665.0,986.0,1.0
15,amadeus,7866,2353.0,2974.0,0.0,0.0,682.0,24.0,0.0,25.0,9.0,1.0,660.0,175.0,963.0
16,amais,421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,395.0,0.0
17,anossaatmosfera,805,18.0,13.0,0.0,1.0,138.0,0.0,1.0,0.0,8.0,0.0,55.0,448.0,123.0
18,antoniairene,243,51.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,153.0,1.0
19,antoniolima,2227,0.0,1028.0,2.0,1.0,0.0,1.0,1.0,0.0,20.0,0.0,6.0,1168.0,0.0
20,antoniomelo,128,15.0,26.0,0.0,0.0,15.0,0.0,0.0,5.0,24.0,0.0,27.0,8.0,8.0
21,apogeu,15,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
