,namespace
0,abdiasmartins
1,abiliomartins
2,acesso
3,acessoalmirantetamandare
4,acessoboqueirao
5,acessocampolargo
6,acessocampolargokids
7,acessofazendariogrande
8,acessohauer
9,acessopinhais
10,acessosantafelicidade
11,acessosjpinhais
12,adrianochan
13,aescobjetivo
14,alpha
15,amadeus
16,amaisteste
17,anossaatmosfera
18,antoniairene
19,antoniolima
20,antoniomelo
21,apogeustoantonio2
22,aprovest
23,beityaacov
24,brasilcursinhos
25,camerinocursos
26,capacitacaoinspira
27,casdinhosjc
28,casdvest
29,cats
30,cbpdigital
31,ceabb
32,ceespacolivre
33,cem
34,ceprimeiromundo
35,ciadosaber
36,cnslpb
37,colegioalphaunis
38,colegioarena
39,colegiobatistaindependente
40,colegiobetelbrasileirosp
41,colegiobilac
42,colegiobrasilia
43,colegiocb
44,colegiodasamericas
45,colegiodompedrosegundo
46,colegioeag
47,colegioecursodesafio
48,colegioecursoprogressao
49,colegioeducallis
50,colegioensitec
51,colegioflamingo
52,colegiofuturageracao
53,colegioglobal
54,colegioguilhermedealmeida
55,colegioiguatemy
56,colegiointegral
57,colegiojoaopaulo
58,colegioliceu
59,colegiomagnum
60,colegiomundial
61,colegionovopatio
62,colegioplanck
63,colegiopremium
64,colegiopremiumgentil
65,colegioser
66,colegiosete
67,colegiouirapuru
68,colegiouniverso
69,colegioup
70,conexaosaber
71,conradochaves
72,contemporaneocidadeverde
73,contemporaneolagoanova
74,crb
75,crescercampinas
76,cursinhoeach
77,cursobase
78,cursoenfase
79,cursoisfera
80,cursoleopoldo
81,cursoprogressao
82,cursosazambuja
83,dante
84,deltaeducacional
85,dominius
86,dommga
87,domus
88,eacorcovado
89,eccos
90,educandarioterciocorreia
91,educarse
92,einsteinassis
93,eldapereira
94,elitecuritiba
95,elitecuritibaemilianoperneta
96,escolaceciliameireles
97,escolamaster
98,escolavida
99,faculdadeflamingo
100,francobrasileiro
101,gamt
102,garra
103,gerabixo
104,guilhermefilho
105,idaam
106,implantacao
107,informacao
108,insa
109,institutocristao
110,institutoeurofarma
111,integra
112,integradaeducativa
113,invictus
114,ipdhsolucoes
115,iracemarufino
116,isem
117,itamarati
118,jardimsaopaulo
119,jazzvestibular
120,joaobelem
121,joaorosa
122,joaosampaio
123,laboratoriosromildo
124,lidera
125,liessin
126,liessinbarra
127,litteratus
128,luizgonzaga
129,macvest
130,magister
131,maplebearslz
132,mariaeunice
133,marialaura
134,marianair
135,mariaolinda
136,mariliamattoso
137,master
138,melquiadescamelo
139,meta
140,moaciralves
141,monsenhorgoncalo
142,murilorocha
143,novotempo
144,nsfatima
145,nucleocriativo
146,nucleopva
147,objetivolorena
148,oficinadoestudante
149,overabelcabral
150,overjoaopessoa
151,overlimaesilva
152,overmarciliofurtado
153,overmossoro
154,overnascimentodecastro
155,overpontanegra
156,overzonanorte
157,pesenglish
158,physicsalcindocacela
159,physicsalmirantebarroso
160,physicsaugustomontenegro
161,physicsbatistacampos
162,physicscidadenova
163,physicsconselheirofurtado
164,physicsmacapa
165,physicsumarizal
166,pioxi
167,pioxiicolegio
168,plannetataboao
169,poliedro
170,poliedropv
171,portinari
172,porto
173,primeirodemaio
174,prismapatrocinio
175,profederal
176,professoratalitha
177,progressaodc
178,progressaoig
179,provaspoliedro
180,psantagema
181,qescola
182,saberviver
183,sagradafamilia
184,santadoroteia
185,santamariacn
186,santoamerico
187,saseducacao
188,senhorbonfim
189,simbios
190,simuladoita
191,souhabilis
192,spdacruz
193,stellamarisaguaverde
194,stellamarisjuveve
195,stellamarisxaxim
196,universitariolondrina
197,universobarcarena
198,valdemiracoelho
199,venceslauchaves
200,villalobos
